ID,Category,SLOT,English,Turkish,Finnish,Polish,German,French,Spanish,Portuguese,Brazilian,Czech,Italian,Dutch,,
0,Corners,LEFT_HAIRPIN,Hairpin Left,Sola U dönüşü,Vasen Serpo,Nawrót lewy,,,Paella Izquierda,Gancho à Esquerda,Hairpin Esquerda,,,,,
1,Corners,LEFT_1,1 Left,Sol 1,Vasen 1,JEDEN lewy,,,UNO Izquierda,UM Esquerda,UM Esquerda,,,,,
2,Corners,LEFT_2,2 Left,Sol 2,Vasen 2,DWA lewy,,,DOS Izquierda,DOIS Esquerda,DOIS Esquerda,,,,,
3,Corners,LEFT_3,3 Left,Sol 3,Vasen 3,Trzy lewy,,,Tres Izquierda,Três Esquerda,Três Esquerda,,,,,
4,Corners,LEFT_4,4 Left,Sol 4,Vasen 4,Cztery lewy,,,Quatro Izquierda,Quatro Esquerda,Quatro Esquerda,,,,,
5,Corners,LEFT_5,5 Left,Sol 5,Vasen 5,Pięć lewy,,,Cinco Izquierda,Cinco Esquerda,Cinco Esquerda,,,,,
6,Corners,RIGHT_5,5 Right,Sağ 5,Oikee 5,Pięć prawy,,,Cinco Derecha,Cinco Direita,Cinco Direita,,,,,
7,Corners,RIGHT_4,4 Right,Sağ 4,Oikee 4,Cztery prawy,,,Quatro Derecha,Quatro Direita,Quatro Direita,,,,,
8,Corners,RIGHT_3,3 Right,Sağ 3,Oikee 3,Trzy prawy,,,Tres Derecha,Três Direita,Três Direita,,,,,
9,Corners,RIGHT_2,2 Right,Sağ 2,Oikee 2,DWA prawy,,,DOS Derecha,DOIS Direita,DOIS Direita,,,,,
10,Corners,RIGHT_1,1 Right,Sağ 1,Oikee 1,JEDEN prawy,,,UNO Derecha,UM Direita,UM Direita,,,,,
11,Corners,RIGHT_HAIRPIN,Hairpin Right,Sağa U dönüşü,Oikee Serpo,Nawrót prawy,,,Paella Derecha,Gancho à Direita,Hairpin Direita,,,,,
12,Line,TWISTY,Twisty,Şikan,,Kręty,,,Curvas,Sinuoso,Sinuoso,,,,,
13,Links,DISTANCE_CALL,Distance,Mesafe,,Dystans,,,Distancia,Distância Chamada das Notas,----Distância,,,,,
14,Modifier,NARROWS,Narrows,Dar geçiş,Kapenee,Zwęża,,,Estrecha,Estreito,Estreito,,,,,
15,Modifier,WIDEOUT,Wide Exit,Geniş çıkış,,Wypuść,,,Se abre,Largo por fora,Largo por fora,,,,,
16,Obstacles,OVER_CREST,Over Crest,Tepeyi aş,Yli,Przez szczyt,,,Rasante,Pela Lomba,Pelo alto,,,,,
17,Obstacles,FORD,Ford,Dere,,Rzeczka,,,Vado,Passagem de água,Raso,,,,,
18,Cautions,CARE,Care,Dikkatli yaklaş,Varo,Z uwagą,,,Atencion,Cuidado,Atenção,,,,,
19,Obstacles,BUMP,Bump,Tümsek,,Wybój,,,Bache,Ressalto,Lombada,,,,,
20,Obstacles,JUMP,Jump,Zıpla,Hyppy,Hopa,,,Salto,Salto,Salto,,,,,
21,Links,START,Start,Başla,Aloita,Start,,,Comienzo,Começa,Começa,,,,,
22,Links,FINISH,Finish,Bitir,Maali,Przez metę,,,Final,Fim,termina,,,,,
23,Links,SPLIT,,Ayrım,,Pomiar,,,Parcial,Parcial,Parcial,,,,,
24,Links,END_OF_TRACK,Stop by marshals,Pistin sonu,,Do domu,,,Final de tramo,Fim do Troço,pare nas marechais,,,,,
25,Links,NEXT_LAP,Onto next lap,Bir sonraki tura,Seuraavalle kierrokselle,Okrążenie,,,Vuelta,Para próxima volta,Próxima volta,,,,,
26,Links,TO_FINISH,Flying finish,Bitiş çizgisine,Maaliin,Meta lotna,,,A Final,Para o Final,Até o final,,,,,
27,Obstacles,BRIDGE,Bridge,Köprü,Silta,Most,,,Puente,Ponte,Ponte,,,,,
28,Line,GOSTRAIGHT,Straight,Düz,Suora,Prostuj,,,Seguir recto,Em Frente,Em Frente,,,,,
29,Line,KEEP_RIGHT,Keep Right,Sağda kal,Oikee Laita,Prawą,,,Continuar der,Fica à Direita,mantém à direita,,,,,
30,Line,KEEP_LEFT,Keep Left,Solda Kal,Vasen Laita,Lewą,,,Continuar Izq,Fica à Esquerda,mantém à esquerda,,,,,
31,Line,KEEP_MIDDLE,Keep Middle,Ortada Kal,Keskeltä,Środkiem,,,Continuar centro,Fica no Meio,mantém no centro,,,,,
32,Cautions,CAUTION,Caution,Tehlike,Huomio,Ostrożnie,,,Cuidado,Cuidado,Cuidado,,,,,
33,Cautions,DOUBLE_CAUTION,Double Caution,Çifte Tehlike,Huomio Huomio,Bardzo ostrożnie,,,Mucha Precaucion,Cuidado Cuidado,Cuidado Cuidado,,,,,
34,Cautions,TRIPLE_CAUTION,Triple Caution,Üçlü Tehlike,,Kurewsko ostrożnie!,,,Maxima precaucion,Triplo Cuidado,Triplo Cuidado,,,,,
35,Cautions,CAREIN,Care in,Dikkatli gir,Varo Sisällä,Wejście z uwagą,,,,Cuidado por dentro,Atenção por dentro,,,,,
36,Cautions,CAREOUT,Care out,Dikaktli Çık,Varo Ulkona,Wyjście z uwagą,,,,Cuidado por fora,Atenção por fora,,,,,
37,Cautions,PRECISE,Precise,Kesin,Tarkka,Nie wybacza,,,,Preciso,Precisão,,,,,
38,Cautions,DECEPTIVE,Deceptive,Aldatıcı,Hämää,Mylący,,,,Engana,Enganosa,,,,,
39,Cautions,HIDDEN,Hidden,Gizli,,Ukryty,,,Escondida,Escondido,Escondido,,,,,
40,Cautions,BLIND,Blind,Görünmez,,Ślepy,,,Ciega,Cego,Cego,,,,,
41,Cautions,SUDDEN,Sudden,Ani,,Nagły,,,,Inesperado,De repente,,,,,
